Tier 1 Suppliers,Producer Name,Abbreviation Name,Region,Source
Ofi,"societe cooperative agricole avec conseil
dadministration leader de bon blanc",cal2b,Sahoua,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole avec conseil d'administration mawoubie d'apprompron,camap,Abengourou,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole des montagnes de biankouma,camobian,Man,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative allakabo du n'zo de kahen,cank,Duékoué,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole n'drikro sinfra,cans,Gagnoa,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative des producteurs d'assiekro,capa,Abengourou,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole la paix de blolequin,capb,Duékoué,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole la paix de la marahoue,capm,Bonon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative des producteurs d'oupoyo,capo,Opouyo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole d'agnitie d'apprompron,capressa,Abengourou,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole le progres de duekoue,caprod,Duékoué,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative simplifiee coope rative agricole la renaissance de bonon,carebo,Bonon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole la renaissance de vavoua,careva,Vavoua,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative des agriculteurs solidaires de duekoue,casodu,Duékoué,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole la tolerance de bonoufla,catb,Bonoufla,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative espoir agnikro d'abengourou,ceaa coop ca,Abengourou,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
